"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1531",31,31,0.460199369059389,1,3,-1,0,1,1,1800,21
"1532",31,32,0.55111723273219,-1,1,1,0,1,-1,1887,20
"1533",31,33,0.60174042508983,1,3,-1,0,1,1,1833,21
"1534",31,34,0.628060029088554,1,1,-1,0,0,-1,2795,20
"1535",31,35,0.692069105087469,-1,2,-1,1,0,1,1977,21
"1536",31,36,0.73062532116553,1,1,1,1,1,1,3513,22
"1537",31,37,0.719897343282489,-1,3,-1,1,1,-1,1844,21
"1538",31,38,0.670522809767781,1,2,1,1,0,-1,3600,20
"1539",31,39,0.742448398428584,1,3,1,1,0,-1,1975,19
"1540",31,40,0.748075565361039,1,2,1,1,1,1,1555,20
"1541",31,41,0.763410159624626,1,2,1,1,1,1,1816,21
"1542",31,42,0.853815496810748,1,3,-1,0,1,1,1788,22
"1543",31,43,0.664896372365592,1,1,1,1,1,1,1772,23
"1544",31,44,0.594153393399011,1,3,-1,0,1,1,1836,24
"1545",31,45,0.560124411552144,-1,2,-1,1,1,-1,2493,23
"1546",31,46,0.606615918927453,1,1,1,1,1,1,1972,24
"1547",31,47,0.596646683540793,1,2,1,1,1,1,2145,25
"1548",31,48,0.563006927129705,1,1,-1,0,0,-1,1773,24
"1549",31,49,0.445871185157543,-1,3,-1,1,1,-1,2556,23
"1550",31,50,0.439699292737243,-1,1,-1,1,0,1,1781,24
"1551",31,51,0.503004226564978,-1,2,1,0,0,1,2538,25
"1552",31,52,0.497015948676776,1,3,1,1,0,-1,1780,24
"1553",31,53,0.516864930269274,-1,2,1,0,1,-1,1825,23
"1554",31,54,0.603071594483941,1,3,-1,0,0,-1,2031,22
"1555",31,55,0.558777269374322,1,1,1,1,1,1,1888,23
"1556",31,56,0.718009229349581,1,3,1,1,1,1,1851,24
"1557",31,57,0.718867877479119,1,2,1,1,1,1,1790,25
"1558",31,58,0.692221800325942,-1,1,-1,1,0,1,1759,26
"1559",31,59,0.65082841740853,1,2,-1,0,0,-1,1612,25
"1560",31,60,0.727504997848174,1,1,1,1,1,1,1978,26
"1561",32,1,0.427964775529891,1,2,1,1,1,1,5362,-9
"1562",32,2,0.553290204653391,-1,3,1,0,1,-1,4845,-10
"1563",32,3,0.683495894404879,-1,1,-1,1,1,-1,4459,-11
"1564",32,4,0.818447077657234,1,3,-1,0,1,1,2760,-10
"1565",32,5,0.857392522436246,1,2,1,1,0,-1,3218,-11
"1566",32,6,0.651040430705121,-1,1,-1,1,1,-1,2788,-12
"1567",32,7,0.650186275642476,1,2,1,1,0,-1,2630,-13
"1568",32,8,0.67242571197355,1,1,1,1,0,-1,3019,-14
"1569",32,9,0.684474419336261,-1,3,1,0,1,-1,2580,-15
"1570",32,10,0.717023024255425,1,1,1,1,1,1,2727,-14
"1571",32,11,0.795861285162541,-1,2,1,0,1,-1,5063,-15
"1572",32,12,0.815275138503078,1,3,-1,0,1,1,2747,-14
"1573",32,13,0.748525985060158,1,2,1,1,0,-1,2925,-15
"1574",32,14,0.837130091618273,-1,3,1,0,1,-1,2591,-16
"1575",32,15,0.784909087401299,1,1,-1,0,1,1,2743,-15
"1576",32,16,0.759639843018307,1,3,-1,0,0,-1,2702,-16
"1577",32,17,0.796421934960634,-1,2,1,0,1,-1,2794,-17
"1578",32,18,0.663085687224824,-1,1,-1,1,1,-1,3496,-18
"1579",32,19,0.574058714116623,1,2,-1,0,0,-1,3208,-19
"1580",32,20,0.565536003575806,1,1,1,1,0,-1,2346,-20
"1581",32,21,0.499260091782992,-1,3,1,0,0,1,2189,-19
"1582",32,22,0.445211690164321,-1,1,1,0,1,-1,2604,-20
"1583",32,23,0.453191244563446,-1,2,-1,1,0,1,2571,-19
"1584",32,24,0.533281637884782,1,1,-1,0,1,1,2134,-18
"1585",32,25,0.428916957413446,-1,3,-1,1,0,1,3241,-17
"1586",32,26,0.466670162482961,-1,2,-1,1,1,-1,2814,-18
"1587",32,27,0.345919995111619,-1,3,-1,1,1,-1,2507,-19
"1588",32,28,0.245281863452832,-1,2,-1,1,1,-1,2770,-20
"1589",32,29,0.185162160188924,-1,1,1,0,1,-1,2738,-21
"1590",32,30,0.155780590004586,-1,2,-1,1,1,-1,3293,-22
"1591",32,31,0.231484706448652,-1,3,1,0,1,-1,2636,-23
"1592",32,32,0.33074697005689,-1,1,-1,1,1,-1,2323,-24
"1593",32,33,0.462041142242071,1,3,-1,0,1,1,2610,-23
"1594",32,34,0.615573555200461,1,1,1,1,0,-1,2807,-24
"1595",32,35,0.535588347209424,-1,2,1,0,1,-1,2574,-25
"1596",32,36,0.515526203758098,1,1,1,1,0,-1,2833,-26
"1597",32,37,0.515249917794302,1,3,1,1,0,-1,2556,-27
"1598",32,38,0.56794647228729,1,2,-1,0,0,-1,2565,-28
"1599",32,39,0.534652559296413,-1,3,1,0,0,1,2564,-27
"1600",32,40,0.497176373318279,-1,2,1,0,1,-1,2523,-28
"1601",32,41,0.446009694896726,1,1,1,1,1,1,2375,-27
"1602",32,42,0.307732226211089,-1,2,1,0,0,1,4506,-26
"1603",32,43,0.271148588762056,1,3,1,1,1,1,4037,-25
"1604",32,44,0.244643357425178,-1,2,1,0,0,1,3186,-24
"1605",32,45,0.197459326213974,-1,1,-1,1,1,-1,4364,-25
"1606",32,46,0.265108137480929,-1,3,-1,1,0,1,2725,-24
"1607",32,47,0.319261117315693,-1,1,-1,1,0,1,3228,-23
"1608",32,48,0.422021671674197,-1,3,1,0,1,-1,3204,-24
"1609",32,49,0.480006406265689,1,2,1,1,1,1,4213,-23
"1610",32,50,0.404532914443188,1,3,-1,0,0,-1,4435,-24
"1611",32,51,0.466804590958595,-1,1,-1,1,1,-1,3416,-25
"1612",32,52,0.474510129777146,1,2,1,1,1,1,3770,-24
"1613",32,53,0.514399799472702,-1,1,-1,1,0,1,3815,-23
"1614",32,54,0.432725241395421,-1,2,1,0,1,-1,4427,-24
"1615",32,55,0.414718726292976,1,3,-1,0,1,1,3024,-23
"1616",32,56,0.469818885112546,1,2,-1,0,0,-1,3603,-24
"1617",32,57,0.651372523457494,1,1,1,1,1,1,3180,-23
"1618",32,58,0.671633366163021,1,3,-1,0,1,1,3065,-22
"1619",32,59,0.669892177631711,1,1,-1,0,0,-1,3425,-23
"1620",32,60,0.697762705869797,1,3,-1,0,0,-1,2757,-24
"1621",33,1,0.426003027474508,-1,3,1,0,0,1,2713,27
"1622",33,2,0.382704274743084,1,1,1,1,1,1,1813,28
"1623",33,3,0.392417175111521,-1,2,1,0,0,1,2136,29
"1624",33,4,0.361080153221823,-1,1,-1,1,0,1,1943,30
"1625",33,5,0.459777357504146,-1,3,1,0,0,1,1991,31
"1626",33,6,0.486927426494292,-1,2,-1,1,0,1,2176,32
"1627",33,7,0.5190844463803,1,3,1,1,0,-1,1868,31
"1628",33,8,0.50026262445545,-1,2,1,0,0,1,3019,32
"1629",33,9,0.468692843440666,-1,1,-1,1,0,1,1916,33
"1630",33,10,0.524019187302291,1,2,-1,0,1,1,2113,34
"1631",33,11,0.483851543244747,-1,3,1,0,0,1,1889,35
"1632",33,12,0.44835900313647,1,1,-1,0,0,-1,2026,34
"1633",33,13,0.471874803212384,1,3,1,1,0,-1,1909,33
"1634",33,14,0.489481451197299,1,1,1,1,1,1,1944,34
"1635",33,15,0.631530571765635,1,2,1,1,0,-1,2435,33
