,SubID,trial_num,pUP,stock_outcome,Advisor,AdvisorCorrect,choice,outcome,rt,tally
259,5,19,0.182023431,1,1,0,1,-1,688,26
260,5,20,0.117565961,-1,3,1,0,-1,903,25
261,5,21,0.100779006,-1,3,0,1,-1,1051,24
262,5,22,0.168395379,-1,1,1,1,1,798,25
263,5,23,0.15948384,-1,2,0,1,-1,1599,24
264,5,24,0.172663479,1,1,1,1,1,931,25
265,5,25,0.156714338,-1,3,0,0,1,816,26
266,5,26,0.192696435,-1,2,0,1,-1,834,25
267,5,27,0.198347073,-1,3,0,0,1,710,26
268,5,28,0.146070878,-1,2,1,0,-1,1201,25
269,5,29,0.232202779,-1,1,0,1,-1,757,24
270,5,30,0.357181342,-1,2,1,0,-1,945,23
271,5,31,0.438840772,1,3,1,0,-1,953,22
272,5,32,0.439730865,-1,1,0,1,-1,553,21
273,5,33,0.479806759,-1,3,0,0,1,1311,22
274,5,34,0.602118129,-1,1,0,1,-1,1531,21
275,5,35,0.540603397,-1,2,0,1,-1,1558,20
276,5,36,0.443392798,1,1,1,1,1,965,21
277,5,37,0.487610223,1,3,1,0,-1,924,20
278,5,38,0.492896177,-1,2,0,1,-1,1036,19
279,5,39,0.528613942,1,3,0,0,1,1308,20
280,5,40,0.54488713,-1,2,1,0,-1,1376,19
281,5,41,0.595708807,-1,2,1,1,1,1117,20
282,5,42,0.617948772,1,3,0,1,-1,1523,19
283,5,43,0.62873756,1,1,1,1,1,815,20
284,5,44,0.591678015,-1,3,0,0,1,694,21
285,5,45,0.532781067,-1,2,0,0,1,1207,22
286,5,46,0.655851849,1,1,1,1,1,706,23
287,5,47,0.725252194,-1,2,1,0,-1,851,22
288,5,48,0.707239489,-1,1,1,1,1,1387,23
289,5,49,0.51523748,1,3,0,0,1,1018,24
290,5,50,0.631812264,1,1,1,1,1,800,25
291,5,51,0.58827138,-1,2,0,0,1,974,26
292,5,52,0.501552412,-1,3,0,0,1,716,27
293,5,53,0.410368671,1,2,1,0,-1,992,26
294,5,54,0.487429472,-1,3,0,1,-1,579,25
295,5,55,0.458818099,1,1,1,1,1,795,26
296,5,56,0.555076069,1,3,0,0,1,773,27
297,5,57,0.5530475,1,2,1,0,-1,1193,26
298,5,58,0.554079005,-1,1,1,1,1,780,27
299,5,59,0.567991051,-1,2,0,1,-1,1093,26
300,5,60,0.504880327,1,1,1,1,1,1159,27
301,6,1,0.514891625,-1,3,0,1,-1,2240,-1
302,6,2,0.433126712,-1,1,1,1,1,1600,0
303,6,3,0.498686975,-1,2,1,1,1,2216,1
304,6,4,0.496204736,-1,1,1,1,1,1553,2
305,6,5,0.393227004,-1,3,0,0,1,1846,3
306,6,6,0.274986555,-1,2,1,1,1,1260,4
307,6,7,0.281554813,-1,3,0,0,1,1700,5
308,6,8,0.223133713,1,2,0,1,-1,1153,4
309,6,9,0.236828883,1,1,0,1,-1,1108,3
310,6,10,0.248406118,-1,2,0,1,-1,1308,2
311,6,11,0.228065374,-1,3,0,0,1,1587,3
312,6,12,0.204818414,-1,1,1,1,1,1126,4
313,6,13,0.291384157,1,3,1,0,-1,1273,3
314,6,14,0.289631571,-1,1,0,1,-1,1815,2
315,6,15,0.217611544,-1,2,0,1,-1,1222,1
316,6,16,0.136266182,-1,1,1,1,1,1134,2
317,6,17,0.16457491,-1,3,1,0,-1,1109,1
318,6,18,0.203736091,-1,2,1,0,-1,1991,0
319,6,19,0.196895606,-1,3,0,0,1,1519,1
320,6,20,0.216447545,-1,2,1,1,1,1057,2
321,6,21,0.219548893,-1,1,1,1,1,1469,3
322,6,22,0.132030836,1,2,1,1,1,926,4
323,6,23,0.244461947,-1,3,1,0,-1,1818,3
324,6,24,0.341082048,-1,2,0,1,-1,875,2
325,6,25,0.351232608,1,1,0,1,-1,942,1
326,6,26,0.521697892,1,3,0,1,-1,2446,0
327,6,27,0.465871197,-1,1,1,1,1,1352,1
328,6,28,0.43515791,-1,3,0,0,1,1229,2
329,6,29,0.403469116,-1,2,1,0,-1,1159,1
330,6,30,0.528826727,1,3,0,0,1,1075,2
331,6,31,0.43095513,1,1,1,1,1,1346,3
332,6,32,0.41827846,1,2,0,1,-1,865,2
333,6,33,0.553575245,1,1,1,1,1,1218,3
334,6,34,0.484451655,1,2,1,1,1,1041,4
335,6,35,0.616206426,-1,3,0,0,1,949,5
336,6,36,0.798844381,1,2,1,0,-1,1380,4
337,6,37,0.823479921,1,1,1,1,1,934,5
338,6,38,0.744057124,1,3,0,0,1,1304,6
339,6,39,0.789451802,1,1,1,1,1,1561,7
340,6,40,0.803402855,1,3,1,0,-1,1807,6
341,6,41,0.81772193,-1,2,0,1,-1,995,5
342,6,42,0.853669682,1,3,0,0,1,1640,6
343,6,43,0.845264974,1,1,0,1,-1,1011,5
344,6,44,0.8199373,1,3,1,0,-1,1582,4
345,6,45,0.765238403,1,2,0,0,1,1412,5
346,6,46,0.748953655,1,1,1,1,1,1131,6
347,6,47,0.762898698,1,2,1,1,1,994,7
348,6,48,0.736207668,1,1,1,1,1,1193,8
349,6,49,0.662263665,1,3,0,0,1,1151,9
350,6,50,0.589137906,-1,1,1,1,1,1115,10
351,6,51,0.597612156,1,2,0,1,-1,944,9
352,6,52,0.536562309,-1,3,0,0,1,1014,10
353,6,53,0.552082299,-1,2,0,1,-1,1013,9
354,6,54,0.540933078,1,3,0,0,1,1127,10
355,6,55,0.473457961,-1,1,0,1,-1,870,9
356,6,56,0.433331638,-1,3,0,0,1,1146,10
357,6,57,0.418205388,-1,2,1,1,1,1082,11
358,6,58,0.576341782,1,1,1,1,1,766,12
359,6,59,0.602519054,-1,2,0,1,-1,1053,11
360,6,60,0.553741788,1,1,1,1,1,798,12
361,7,1,0.401796891,-1,1,1,1,1,1061,-13
362,7,2,0.485015865,1,2,0,1,-1,1142,-14
363,7,3,0.496499474,-1,3,0,0,1,736,-13
364,7,4,0.382218899,1,2,1,1,1,631,-12
365,7,5,0.249810245,-1,1,0,1,-1,727,-13
366,7,6,0.305052759,1,3,0,0,1,813,-12
367,7,7,0.326379466,-1,1,1,1,1,990,-11
368,7,8,0.387198689,-1,3,0,0,1,953,-10
369,7,9,0.393189637,-1,2,0,0,1,930,-9
370,7,10,0.323493475,1,3,0,0,1,897,-8
371,7,11,0.410946148,-1,1,1,1,1,734,-7
372,7,12,0.33948238,-1,2,0,0,1,766,-6
373,7,13,0.389593619,-1,1,1,1,1,759,-5
374,7,14,0.3523293,-1,2,1,0,-1,783,-6
375,7,15,0.291665013,1,3,0,0,1,799,-5
376,7,16,0.332012892,-1,2,0,1,-1,631,-6
377,7,17,0.312481421,1,1,0,1,-1,697,-7
378,7,18,0.387590205,-1,3,0,0,1,784,-6
379,7,19,0.456264315,1,1,1,1,1,682,-5
380,7,20,0.507222991,-1,3,0,0,1,776,-4
381,7,21,0.462598766,-1,2,0,1,-1,795,-5
382,7,22,0.517840703,-1,3,0,0,1,732,-4
383,7,23,0.46288785,1,1,1,1,1,614,-3
384,7,24,0.618516442,1,3,0,0,1,727,-2
385,7,25,0.709973169,1,2,1,0,-1,714,-3
386,7,26,0.766462984,1,1,1,1,1,572,-2
387,7,27,0.774770103,1,2,1,0,-1,871,-3
388,7,28,0.751636573,1,1,1,1,1,789,-2
389,7,29,0.807559299,1,3,0,0,1,501,-1
390,7,30,0.861079987,1,1,0,1,-1,685,-2
391,7,31,0.848873841,1,2,0,0,1,863,-1
392,7,32,0.757705874,-1,3,0,0,1,690,0
393,7,33,0.780536747,-1,2,1,1,1,873,1
394,7,34,0.834214331,1,3,0,0,1,673,2
395,7,35,0.86037409,1,1,0,1,-1,637,1
396,7,36,0.671306765,1,3,1,0,-1,710,0
397,7,37,0.689581011,1,2,1,0,-1,722,-1
398,7,38,0.689361534,1,1,1,1,1,625,0
399,7,39,0.682605433,1,2,0,1,-1,739,-1
400,7,40,0.634099925,-1,1,0,1,-1,647,-2
401,7,41,0.731813899,1,3,0,0,1,637,-1
402,7,42,0.70634271,-1,1,1,1,1,666,0
403,7,43,0.708626585,-1,2,1,1,1,719,1
404,7,44,0.542859431,1,1,1,1,1,712,2
405,7,45,0.431847218,1,3,1,0,-1,679,1
406,7,46,0.508966496,1,2,1,0,-1,735,0
407,7,47,0.420167253,1,3,0,0,1,830,1
408,7,48,0.484593472,1,2,1,1,1,865,2
409,7,49,0.438954778,1,1,1,1,1,601,3
410,7,50,0.362464492,1,2,0,1,-1,718,2
411,7,51,0.354096117,1,3,1,0,-1,636,1
412,7,52,0.23079669,1,1,1,1,1,641,2
413,7,53,0.244747394,1,3,0,0,1,577,3
414,7,54,0.219232526,-1,1,1,1,1,678,4
415,7,55,0.330791883,1,2,0,0,1,746,5
416,7,56,0.442755464,-1,1,1,1,1,640,6
417,7,57,0.512168649,1,3,1,0,-1,658,5
418,7,58,0.612598476,1,2,0,1,-1,706,4
419,7,59,0.746808089,-1,3,1,0,-1,679,3
420,7,60,0.829474524,1,2,1,0,-1,774,2
421,8,1,0.482036309,1,2,0,1,-1,2130,3
422,8,2,0.532390721,1,3,0,0,1,1386,4
423,8,3,0.511580429,1,1,1,1,1,1361,5
424,8,4,0.528184154,-1,3,0,0,1,2072,6
425,8,5,0.512577163,-1,2,1,0,-1,2411,5
426,8,6,0.446249456,1,1,1,1,1,1515,6
427,8,7,0.355410684,-1,2,1,1,1,2801,7
428,8,8,0.37748682,-1,1,1,1,1,1453,8
429,8,9,0.400234192,-1,3,0,0,1,1841,9
430,8,10,0.342650771,1,1,1,1,1,1465,10
431,8,11,0.246652949,-1,2,1,0,-1,1545,9
432,8,12,0.243036052,1,3,0,0,1,1969,10
433,8,13,0.291610777,1,2,1,1,1,1303,11
434,8,14,0.199278145,-1,3,0,0,1,952,12
435,8,15,0.178900857,-1,1,0,1,-1,2119,11
436,8,16,0.266476152,-1,3,1,0,-1,1904,10
437,8,17,0.172345763,-1,2,1,0,-1,1270,9
438,8,18,0.144323269,-1,1,1,1,1,1171,10
439,8,19,0.139002591,-1,2,0,0,1,2369,11
440,8,20,0.158329921,-1,1,0,1,-1,1678,10
441,8,21,0.175600072,-1,1,1,1,1,1876,11
442,8,22,0.12196027,-1,2,0,0,1,1438,12
443,8,23,0.336843075,-1,3,0,0,1,1572,13
444,8,24,0.491441518,-1,2,1,0,-1,1970,12
445,8,25,0.468562577,1,1,1,1,1,951,13
446,8,26,0.528247958,-1,3,0,0,1,1656,14
447,8,27,0.603276744,1,1,1,0,-1,1813,13
448,8,28,0.632021346,1,3,1,0,-1,1969,12
449,8,29,0.661720637,1,2,0,1,-1,1001,11
450,8,30,0.577510945,1,3,0,1,-1,1685,10
451,8,31,0.668845908,1,1,1,1,1,1207,11
452,8,32,0.599920244,1,2,0,0,1,1454,12
453,8,33,0.709743399,1,1,1,1,1,2200,13
454,8,34,0.838518388,1,2,1,0,-1,1694,12
455,8,35,0.665687687,1,3,1,1,1,1530,13
456,8,36,0.623218624,1,2,1,0,-1,1485,12
457,8,37,0.499762408,-1,1,1,1,1,907,13
458,8,38,0.578239767,-1,3,0,0,1,1833,14
459,8,39,0.631522514,1,1,1,0,-1,1811,13
460,8,40,0.622299685,1,3,0,0,1,1100,14
461,8,41,0.509852258,1,3,1,1,1,2237,15
